Notes,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate
,Alabama,1,2018,2018,15-24 years,15-24,White,2106-3,38,410623,9.3
,Alabama,1,2018,2018,25-34 years,25-34,Black or African American,2054-5,34,195150,17.4
,Alabama,1,2018,2018,25-34 years,25-34,White,2106-3,142,421768,33.7
,Alabama,1,2018,2018,35-44 years,35-44,Black or African American,2054-5,33,165463,19.9
,Alabama,1,2018,2018,35-44 years,35-44,White,2106-3,180,402082,44.8
,Alabama,1,2018,2018,45-54 years,45-54,Black or African American,2054-5,29,159367,18.2
,Alabama,1,2018,2018,45-54 years,45-54,White,2106-3,136,446208,30.5
,Alabama,1,2018,2018,55-64 years,55-64,Black or African American,2054-5,21,163476,12.8
,Alabama,1,2018,2018,55-64 years,55-64,White,2106-3,101,473424,21.3
,Alabama,1,2018,2018,65-74 years,65-74,White,2106-3,27,373503,7.2
,Alabama,1,2019,2019,15-24 years,15-24,White,2106-3,41,408874,10
,Alabama,1,2019,2019,25-34 years,25-34,Black or African American,2054-5,35,197077,17.8
,Alabama,1,2019,2019,25-34 years,25-34,White,2106-3,154,422920,36.4
,Alabama,1,2019,2019,35-44 years,35-44,Black or African American,2054-5,32,165622,19.3
,Alabama,1,2019,2019,35-44 years,35-44,White,2106-3,167,402551,41.5
,Alabama,1,2019,2019,45-54 years,45-54,Black or African American,2054-5,17,157147,Unreliable
,Alabama,1,2019,2019,45-54 years,45-54,White,2106-3,134,437410,30.6
,Alabama,1,2019,2019,55-64 years,55-64,Black or African American,2054-5,22,163781,13.4
,Alabama,1,2019,2019,55-64 years,55-64,White,2106-3,103,475105,21.7
,Alabama,1,2019,2019,65-74 years,65-74,White,2106-3,27,381028,7.1
,Alabama,1,2020,2020,15-24 years,15-24,Black or African American,2054-5,20,191941,10.4
,Alabama,1,2020,2020,15-24 years,15-24,White,2106-3,59,409191,14.4
,Alabama,1,2020,2020,25-34 years,25-34,Black or African American,2054-5,59,198556,29.7
,Alabama,1,2020,2020,25-34 years,25-34,White,2106-3,168,424231,39.6
,Alabama,1,2020,2020,35-44 years,35-44,Black or African American,2054-5,69,166954,41.3
,Alabama,1,2020,2020,35-44 years,35-44,White,2106-3,232,404065,57.4
,Alabama,1,2020,2020,45-54 years,45-54,Black or African American,2054-5,48,155345,30.9
,Alabama,1,2020,2020,45-54 years,45-54,White,2106-3,165,430667,38.3
,Alabama,1,2020,2020,55-64 years,55-64,Black or African American,2054-5,36,163567,22
,Alabama,1,2020,2020,55-64 years,55-64,White,2106-3,117,474690,24.6
,Alabama,1,2020,2020,65-74 years,65-74,Black or African American,2054-5,10,113725,Unreliable
,Alabama,1,2020,2020,65-74 years,65-74,White,2106-3,22,390964,5.6
,Alabama,1,2021,2021,15-24 years,15-24,Black or African American,2054-5,20,196578,10.2
,Alabama,1,2021,2021,15-24 years,15-24,White,2106-3,71,422539,16.8
,Alabama,1,2021,2021,25-34 years,25-34,Black or African American,2054-5,85,199680,42.6
,Alabama,1,2021,2021,25-34 years,25-34,White,2106-3,244,428226,57
,Alabama,1,2021,2021,35-44 years,35-44,Black or African American,2054-5,98,174141,56.3
,Alabama,1,2021,2021,35-44 years,35-44,White,2106-3,344,420925,81.7
,Alabama,1,2021,2021,45-54 years,45-54,Black or African American,2054-5,69,158968,43.4
,Alabama,1,2021,2021,45-54 years,45-54,White,2106-3,211,440200,47.9
,Alabama,1,2021,2021,55-64 years,55-64,Black or African American,2054-5,45,166868,27
,Alabama,1,2021,2021,55-64 years,55-64,White,2106-3,141,485698,29
,Alabama,1,2021,2021,65-74 years,65-74,Black or African American,2054-5,11,120980,Unreliable
,Alabama,1,2021,2021,65-74 years,65-74,White,2106-3,29,407067,7.1
,Alabama,1,2021,2021,75-84 years,75-84,White,2106-3,10,209753,Unreliable
,Alabama,1,2022,2022,15-24 years,15-24,Black or African American,2054-5,18,207459,Unreliable
,Alabama,1,2022,2022,15-24 years,15-24,White,2106-3,67,446083,15
,Alabama,1,2022,2022,25-34 years,25-34,Black or African American,2054-5,91,198690,45.8
,Alabama,1,2022,2022,25-34 years,25-34,White,2106-3,266,429319,62
,Alabama,1,2022,2022,35-44 years,35-44,Black or African American,2054-5,108,174127,62
,Alabama,1,2022,2022,35-44 years,35-44,White,2106-3,327,421134,77.6
,Alabama,1,2022,2022,45-54 years,45-54,Black or African American,2054-5,79,158172,49.9
,Alabama,1,2022,2022,45-54 years,45-54,White,2106-3,248,435984,56.9
,Alabama,1,2022,2022,55-64 years,55-64,Black or African American,2054-5,59,162253,36.4
,Alabama,1,2022,2022,55-64 years,55-64,White,2106-3,144,476101,30.2
,Alabama,1,2022,2022,65-74 years,65-74,Black or African American,2054-5,17,122972,Unreliable
,Alabama,1,2022,2022,65-74 years,65-74,White,2106-3,36,403326,8.9
,Alabama,1,2023,2023,15-24 years,15-24,Black or African American,2054-5,23,204638,11.2
,Alabama,1,2023,2023,15-24 years,15-24,White,2106-3,56,443914,12.6
,Alabama,1,2023,2023,25-34 years,25-34,Black or African American,2054-5,113,197678,57.2
,Alabama,1,2023,2023,25-34 years,25-34,White,2106-3,219,432195,50.7
,Alabama,1,2023,2023,35-44 years,35-44,Black or African American,2054-5,139,176149,78.9
,Alabama,1,2023,2023,35-44 years,35-44,White,2106-3,369,427734,86.3
,Alabama,1,2023,2023,45-54 years,45-54,Black or African American,2054-5,102,158574,64.3
,Alabama,1,2023,2023,45-54 years,45-54,White,2106-3,262,436241,60.1
,Alabama,1,2023,2023,55-64 years,55-64,Black or African American,2054-5,63,160936,39.1
,Alabama,1,2023,2023,55-64 years,55-64,White,2106-3,152,472670,32.2
,Alabama,1,2023,2023,65-74 years,65-74,Black or African American,2054-5,28,127254,22
,Alabama,1,2023,2023,65-74 years,65-74,White,2106-3,48,408530,11.7
,Alaska,2,2018,2018,25-34 years,25-34,White,2106-3,17,76743,Unreliable
,Alaska,2,2018,2018,35-44 years,35-44,White,2106-3,10,64497,Unreliable
,Alaska,2,2018,2018,45-54 years,45-54,White,2106-3,18,61776,Unreliable
,Alaska,2,2018,2018,55-64 years,55-64,White,2106-3,18,70516,Unreliable
,Alaska,2,2019,2019,25-34 years,25-34,American Indian or Alaska Native,1002-5,13,17961,Unreliable
,Alaska,2,2019,2019,25-34 years,25-34,White,2106-3,21,75378,27.9
,Alaska,2,2019,2019,35-44 years,35-44,White,2106-3,20,65191,30.7
,Alaska,2,2019,2019,45-54 years,45-54,White,2106-3,11,59550,Unreliable
,Alaska,2,2019,2019,55-64 years,55-64,White,2106-3,15,68986,Unreliable
,Alaska,2,2020,2020,15-24 years,15-24,White,2106-3,12,54206,Unreliable
,Alaska,2,2020,2020,25-34 years,25-34,American Indian or Alaska Native,1002-5,17,17910,Unreliable
,Alaska,2,2020,2020,25-34 years,25-34,White,2106-3,14,74078,Unreliable
,Alaska,2,2020,2020,35-44 years,35-44,American Indian or Alaska Native,1002-5,10,13602,Unreliable
,Alaska,2,2020,2020,35-44 years,35-44,White,2106-3,21,66697,31.5
,Alaska,2,2020,2020,45-54 years,45-54,White,2106-3,18,58123,Unreliable
,Alaska,2,2020,2020,55-64 years,55-64,White,2106-3,19,67136,Unreliable
,Alaska,2,2021,2021,15-24 years,15-24,American Indian or Alaska Native,1002-5,10,17739,Unreliable
,Alaska,2,2021,2021,15-24 years,15-24,White,2106-3,12,54200,Unreliable
,Alaska,2,2021,2021,25-34 years,25-34,American Indian or Alaska Native,1002-5,25,17649,141.7
,Alaska,2,2021,2021,25-34 years,25-34,White,2106-3,35,72088,48.6
,Alaska,2,2021,2021,35-44 years,35-44,American Indian or Alaska Native,1002-5,23,14277,161.1
,Alaska,2,2021,2021,35-44 years,35-44,White,2106-3,28,68833,40.7
,Alaska,2,2021,2021,45-54 years,45-54,American Indian or Alaska Native,1002-5,13,11152,Unreliable
,Alaska,2,2021,2021,45-54 years,45-54,White,2106-3,32,57803,55.4
,Alaska,2,2021,2021,55-64 years,55-64,White,2106-3,24,65718,36.5
,Alaska,2,2022,2022,25-34 years,25-34,American Indian or Alaska Native,1002-5,19,17618,Unreliable
,Alaska,2,2022,2022,25-34 years,25-34,White,2106-3,27,71309,37.9
,Alaska,2,2022,2022,35-44 years,35-44,American Indian or Alaska Native,1002-5,28,14589,191.9
