"Notes","State","State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Single Race 6","Single Race 6 Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","15-24 years","15-24","White","2106-3","Male","M",17,209783,Unreliable
,"Alabama","01","2018","2018","25-34 years","25-34","Black or African American","2054-5","Male","M",13,92635,Unreliable
,"Alabama","01","2018","2018","25-34 years","25-34","White","2106-3","Female","F",21,210105,10.0
,"Alabama","01","2018","2018","25-34 years","25-34","White","2106-3","Male","M",51,211663,24.1
,"Alabama","01","2018","2018","35-44 years","35-44","Black or African American","2054-5","Male","M",15,74385,Unreliable
,"Alabama","01","2018","2018","35-44 years","35-44","White","2106-3","Female","F",32,201493,15.9
,"Alabama","01","2018","2018","35-44 years","35-44","White","2106-3","Male","M",59,200589,29.4
,"Alabama","01","2018","2018","45-54 years","45-54","White","2106-3","Female","F",20,223859,8.9
,"Alabama","01","2018","2018","45-54 years","45-54","White","2106-3","Male","M",41,222349,18.4
,"Alabama","01","2018","2018","55-64 years","55-64","White","2106-3","Female","F",26,242824,10.7
,"Alabama","01","2018","2018","55-64 years","55-64","White","2106-3","Male","M",25,230600,10.8
,"Alabama","01","2019","2019","15-24 years","15-24","White","2106-3","Male","M",14,208469,Unreliable
,"Alabama","01","2019","2019","25-34 years","25-34","Black or African American","2054-5","Male","M",14,93916,Unreliable
,"Alabama","01","2019","2019","25-34 years","25-34","White","2106-3","Female","F",31,210456,14.7
,"Alabama","01","2019","2019","25-34 years","25-34","White","2106-3","Male","M",69,212464,32.5
,"Alabama","01","2019","2019","35-44 years","35-44","Black or African American","2054-5","Male","M",12,74203,Unreliable
,"Alabama","01","2019","2019","35-44 years","35-44","White","2106-3","Female","F",28,202225,13.8
,"Alabama","01","2019","2019","35-44 years","35-44","White","2106-3","Male","M",52,200326,26.0
,"Alabama","01","2019","2019","45-54 years","45-54","White","2106-3","Female","F",36,219572,16.4
,"Alabama","01","2019","2019","45-54 years","45-54","White","2106-3","Male","M",42,217838,19.3
,"Alabama","01","2019","2019","55-64 years","55-64","White","2106-3","Female","F",19,243582,Unreliable
,"Alabama","01","2019","2019","55-64 years","55-64","White","2106-3","Male","M",25,231523,10.8
,"Alabama","01","2020","2020","15-24 years","15-24","Black or African American","2054-5","Male","M",11,94696,Unreliable
,"Alabama","01","2020","2020","15-24 years","15-24","White","2106-3","Male","M",27,208498,12.9
,"Alabama","01","2020","2020","25-34 years","25-34","Black or African American","2054-5","Female","F",11,103512,Unreliable
,"Alabama","01","2020","2020","25-34 years","25-34","Black or African American","2054-5","Male","M",30,95044,31.6
,"Alabama","01","2020","2020","25-34 years","25-34","White","2106-3","Female","F",35,211129,16.6
,"Alabama","01","2020","2020","25-34 years","25-34","White","2106-3","Male","M",73,213102,34.3
,"Alabama","01","2020","2020","35-44 years","35-44","Black or African American","2054-5","Male","M",32,74628,42.9
,"Alabama","01","2020","2020","35-44 years","35-44","White","2106-3","Female","F",43,203104,21.2
,"Alabama","01","2020","2020","35-44 years","35-44","White","2106-3","Male","M",91,200961,45.3
,"Alabama","01","2020","2020","45-54 years","45-54","Black or African American","2054-5","Male","M",21,68932,30.5
,"Alabama","01","2020","2020","45-54 years","45-54","White","2106-3","Female","F",33,216180,15.3
,"Alabama","01","2020","2020","45-54 years","45-54","White","2106-3","Male","M",55,214487,25.6
,"Alabama","01","2020","2020","55-64 years","55-64","Black or African American","2054-5","Male","M",10,72476,Unreliable
,"Alabama","01","2020","2020","55-64 years","55-64","White","2106-3","Female","F",27,243125,11.1
,"Alabama","01","2020","2020","55-64 years","55-64","White","2106-3","Male","M",43,231565,18.6
,"Alabama","01","2021","2021","15-24 years","15-24","Black or African American","2054-5","Male","M",11,96789,Unreliable
,"Alabama","01","2021","2021","15-24 years","15-24","White","2106-3","Female","F",21,207378,10.1
,"Alabama","01","2021","2021","15-24 years","15-24","White","2106-3","Male","M",38,215161,17.7
,"Alabama","01","2021","2021","25-34 years","25-34","Black or African American","2054-5","Female","F",28,104371,26.8
,"Alabama","01","2021","2021","25-34 years","25-34","Black or African American","2054-5","Male","M",39,95309,40.9
,"Alabama","01","2021","2021","25-34 years","25-34","White","2106-3","Female","F",53,213845,24.8
,"Alabama","01","2021","2021","25-34 years","25-34","White","2106-3","Male","M",129,214381,60.2
,"Alabama","01","2021","2021","35-44 years","35-44","Black or African American","2054-5","Female","F",24,95581,25.1
,"Alabama","01","2021","2021","35-44 years","35-44","Black or African American","2054-5","Male","M",53,78560,67.5
,"Alabama","01","2021","2021","35-44 years","35-44","White","2106-3","Female","F",75,210346,35.7
,"Alabama","01","2021","2021","35-44 years","35-44","White","2106-3","Male","M",166,210579,78.8
,"Alabama","01","2021","2021","45-54 years","45-54","Black or African American","2054-5","Female","F",10,87807,Unreliable
,"Alabama","01","2021","2021","45-54 years","45-54","Black or African American","2054-5","Male","M",38,71161,53.4
,"Alabama","01","2021","2021","45-54 years","45-54","White","2106-3","Female","F",42,218649,19.2
,"Alabama","01","2021","2021","45-54 years","45-54","White","2106-3","Male","M",80,221551,36.1
,"Alabama","01","2021","2021","55-64 years","55-64","Black or African American","2054-5","Male","M",17,74817,Unreliable
,"Alabama","01","2021","2021","55-64 years","55-64","White","2106-3","Female","F",31,245661,12.6
,"Alabama","01","2021","2021","55-64 years","55-64","White","2106-3","Male","M",62,240037,25.8
,"Alabama","01","2021","2021","65-74 years","65-74","White","2106-3","Male","M",10,192493,Unreliable
,"Alabama","01","2022","2022","15-24 years","15-24","Black or African American","2054-5","Male","M",11,102718,Unreliable
,"Alabama","01","2022","2022","15-24 years","15-24","White","2106-3","Female","F",14,218974,Unreliable
,"Alabama","01","2022","2022","15-24 years","15-24","White","2106-3","Male","M",33,227109,14.5
,"Alabama","01","2022","2022","25-34 years","25-34","Black or African American","2054-5","Female","F",18,102976,Unreliable
,"Alabama","01","2022","2022","25-34 years","25-34","Black or African American","2054-5","Male","M",57,95714,59.6
,"Alabama","01","2022","2022","25-34 years","25-34","White","2106-3","Female","F",75,212809,35.2
,"Alabama","01","2022","2022","25-34 years","25-34","White","2106-3","Male","M",145,216510,67.0
,"Alabama","01","2022","2022","35-44 years","35-44","Black or African American","2054-5","Female","F",23,95070,24.2
,"Alabama","01","2022","2022","35-44 years","35-44","Black or African American","2054-5","Male","M",62,79057,78.4
,"Alabama","01","2022","2022","35-44 years","35-44","White","2106-3","Female","F",77,209414,36.8
,"Alabama","01","2022","2022","35-44 years","35-44","White","2106-3","Male","M",160,211720,75.6
,"Alabama","01","2022","2022","45-54 years","45-54","Black or African American","2054-5","Female","F",15,87091,Unreliable
,"Alabama","01","2022","2022","45-54 years","45-54","Black or African American","2054-5","Male","M",50,71081,70.3
,"Alabama","01","2022","2022","45-54 years","45-54","White","2106-3","Female","F",61,215788,28.3
,"Alabama","01","2022","2022","45-54 years","45-54","White","2106-3","Male","M",95,220196,43.1
,"Alabama","01","2022","2022","55-64 years","55-64","Black or African American","2054-5","Male","M",35,72667,48.2
,"Alabama","01","2022","2022","55-64 years","55-64","White","2106-3","Female","F",41,239832,17.1
