total_population,median_income,unemployed,labor_force,housing_units,state_name,state,year,data_source,unemployment_rate
4747424,42934,215543,2259707,1831269,Alabama,1,2011,ACS_5yr_2011,9.538537518
700703,69014,30932,384749,252920,Alaska,2,2011,ACS_5yr_2011,8.039527068
6337373,50752,268363,3027149,2344215,Arizona,4,2011,ACS_5yr_2011,8.865206173
2895928,40149,114100,1373224,1121386,Arkansas,5,2011,ACS_5yr_2011,8.308913914
36969200,61632,1868871,18618649,12433172,California,6,2011,ACS_5yr_2011,10.03762948
4966061,57685,203279,2710732,1941193,Colorado,8,2011,ACS_5yr_2011,7.499044539
3558172,69243,163634,1937088,1360115,Connecticut,9,2011,ACS_5yr_2011,8.44742211
890856,59317,35231,459204,332837,Delaware,10,2011,ACS_5yr_2011,7.672189267
593955,61835,33495,337523,260136,District of Columbia,11,2011,ACS_5yr_2011,9.923768158
18688787,47827,948078,9264920,7140096,Florida,12,2011,ACS_5yr_2011,10.23298636
9600612,49736,469316,4813601,3490754,Georgia,13,2011,ACS_5yr_2011,9.74979023
1346554,67116,43274,717929,445513,Hawaii,15,2011,ACS_5yr_2011,6.027615544
1549987,46890,59871,763598,575497,Idaho,16,2011,ACS_5yr_2011,7.840643899
12790182,56576,622727,6688329,4773002,Illinois,17,2011,ACS_5yr_2011,9.310651435
6454254,48393,294244,3283673,2472870,Indiana,18,2011,ACS_5yr_2011,8.96081918
3032266,50451,90571,1647363,1219137,Iowa,19,2011,ACS_5yr_2011,5.49793822
2830985,50594,95489,1506400,1104479,Kansas,20,2011,ACS_5yr_2011,6.338887414
4316040,42248,182507,2065869,1681085,Kentucky,21,2011,ACS_5yr_2011,8.834393662
4484596,44086,172040,2163213,1675097,Louisiana,22,2011,ACS_5yr_2011,7.95298475
1328543,47898,50266,707618,551601,Maine,23,2011,ACS_5yr_2011,7.103550221
5736545,72419,227600,3166018,2128377,Maryland,24,2011,ACS_5yr_2011,7.188840998
6512227,65981,287476,3573919,2522409,Massachusetts,25,2011,ACS_5yr_2011,8.043718954
9920621,48669,601515,4913677,3825182,Michigan,26,2011,ACS_5yr_2011,12.24164714
5278190,58476,201649,2939455,2094265,Minnesota,27,2011,ACS_5yr_2011,6.860081206
2956700,38718,134828,1358958,1085062,Mississippi,28,2011,ACS_5yr_2011,9.921425092
5955802,47202,244812,3056406,2354104,Missouri,29,2011,ACS_5yr_2011,8.009799745
982854,45324,32646,513196,403495,Montana,30,2011,ACS_5yr_2011,6.361312247
1813061,50695,54055,1001009,715703,Nebraska,31,2011,ACS_5yr_2011,5.400051348
2673396,55553,145293,1401953,986741,Nevada,32,2011,ACS_5yr_2011,10.36361419
1315911,64664,46668,743342,514869,New Hampshire,33,2011,ACS_5yr_2011,6.27813308
8753064,71180,402751,4633565,3180854,New Jersey,34,2011,ACS_5yr_2011,8.692033024
2037136,44631,78901,974512,762002,New Mexico,35,2011,ACS_5yr_2011,8.09646264
19302448,56951,803436,9881672,7215687,New York,36,2011,ACS_5yr_2011,8.130567378
9418736,46291,455742,4784984,3664119,North Carolina,37,2011,ACS_5yr_2011,9.524420562
666783,49415,12772,376826,278669,North Dakota,38,2011,ACS_5yr_2011,3.38936273
11525536,48071,545888,5883960,4554007,Ohio,39,2011,ACS_5yr_2011,9.27756137
3714520,44287,116866,1823779,1432735,Oklahoma,40,2011,ACS_5yr_2011,6.407903589
3801991,49850,191276,1947759,1509554,Oregon,41,2011,ACS_5yr_2011,9.820311445
